TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/11/28
TIME	16:59:27
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	800.0000
LASTX	300.0000
NPOINTS	501
FIRSTY	0.30726
MAXY	0.97767
MINY	0.30457
XYDATA
465.0000	42.126
464.0000	42.222
463.0000	42.382
462.0000	42.43
461.0000	42.538
460.0000	42.653
459.0000	42.774
458.0000	42.935
457.0000	43.048
456.0000	43.195
455.0000	43.296
454.0000	43.45
453.0000	43.592
452.0000	43.779
451.0000	43.931
450.0000	44.058
449.0000	44.243
448.0000	44.33
447.0000	44.443
446.0000	44.535
445.0000	44.645
444.0000	44.768
443.0000	44.882
442.0000	45.02
441.0000	45.197
440.0000	45.314
439.0000	45.44
438.0000	45.677
437.0000	45.772
436.0000	45.911
435.0000	46.09
434.0000	46.222
433.0000	46.421
432.0000	46.569
431.0000	46.785
430.0000	46.995
429.0000	47.15
428.0000	47.336
427.0000	47.628
426.0000	47.805
425.0000	47.944
424.0000	48.155
423.0000	48.417
422.0000	48.554
421.0000	48.824
420.0000	49.249
419.0000	49.329
418.0000	49.475
417.0000	49.66
416.0000	49.836
415.0000	50.184
414.0000	50.382
413.0000	50.717
412.0000	51.049
411.0000	51.246
410.0000	51.535
409.0000	51.807
408.0000	52.038
407.0000	52.365
406.0000	52.665
405.0000	52.955
404.0000	53.223
403.0000	53.517
402.0000	53.829
401.0000	54.145
400.0000	54.407
399.0000	54.778
398.0000	55.083
397.0000	55.458
396.0000	55.86
395.0000	56.258
394.0000	56.654
393.0000	57.113
392.0000	57.606
391.0000	58.14
390.0000	58.682
389.0000	59.102
388.0000	59.577
387.0000	60.024
386.0000	60.463
385.0000	60.981
384.0000	61.336
383.0000	61.904
382.0000	62.559
381.0000	63.171
380.0000	63.866
379.0000	64.455
378.0000	65.284
377.0000	65.992
376.0000	66.706
375.0000	67.466
374.0000	68.225
373.0000	68.907
372.0000	69.624
371.0000	70.224
370.0000	71.468
369.0000	71.847
368.0000	71.945
367.0000	71.92
366.0000	72.2
365.0000	72.503
364.0000	72.531
363.0000	72.598
362.0000	72.607
361.0000	72.559
360.0000	72.337
359.0000	72.212
358.0000	72.122
357.0000	71.961
356.0000	72.187
355.0000	72.067
354.0000	71.97
353.0000	71.827
352.0000	71.986
351.0000	71.871
350.0000	71.948
349.0000	72.045
348.0000	71.997
347.0000	72.059
346.0000	72.366
345.0000	72.614
344.0000	72.573
343.0000	72.57
342.0000	73.245
341.0000	73.201
340.0000	73.432
339.0000	73.492
338.0000	73.573
337.0000	73.618
336.0000	73.324
335.0000	73.836
334.0000	74.384
333.0000	74.793
332.0000	75.138
331.0000	75.266
330.0000	75.453
329.0000	75.793
328.0000	76.309
327.0000	76.987
326.0000	77.145
325.0000	78.109
324.0000	78.591
323.0000	79.295
322.0000	79.63
321.0000	80.457
320.0000	80.31
319.0000	80.562
318.0000	81.065
317.0000	81.805
316.0000	82.568
315.0000	83.046
314.0000	84.036
313.0000	85.517
312.0000	86.398
311.0000	87.049
310.0000	87.819
309.0000	88.451
308.0000	88.726
307.0000	89.64
306.0000	90.245
305.0000	91.339
304.0000	92.197
303.0000	93.241
302.0000	94.57
301.0000	95.811
300.0000	97.767
