===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
85.00000E+0	-1.15000E+0	-4.74500E-3	242.36038E+0	0.00000E+0	0.00000E+0
86.00000E+0	-1.14000E+0	-4.74140E-3	240.43531E+0	0.00000E+0	0.00000E+0
87.00000E+0	-1.13000E+0	-4.74100E-3	238.34634E+0	0.00000E+0	0.00000E+0
88.00000E+0	-1.12000E+0	-4.73950E-3	236.31185E+0	0.00000E+0	0.00000E+0
89.00000E+0	-1.11000E+0	-4.73810E-3	234.27112E+0	0.00000E+0	0.00000E+0
90.00000E+0	-1.10000E+0	-4.73500E-3	232.31257E+0	0.00000E+0	0.00000E+0
91.00000E+0	-1.09000E+0	-4.73450E-3	230.22494E+0	0.00000E+0	0.00000E+0
92.00000E+0	-1.08000E+0	-4.73260E-3	228.20437E+0	0.00000E+0	0.00000E+0
93.00000E+0	-1.07000E+0	-4.72950E-3	226.23956E+0	0.00000E+0	0.00000E+0
94.00000E+0	-1.06000E+0	-4.72950E-3	224.12517E+0	0.00000E+0	0.00000E+0
95.00000E+0	-1.05000E+0	-4.72710E-3	222.12350E+0	0.00000E+0	0.00000E+0
96.00000E+0	-1.04000E+0	-4.72660E-3	220.03131E+0	0.00000E+0	0.00000E+0
97.00000E+0	-1.03000E+0	-4.72350E-3	218.05864E+0	0.00000E+0	0.00000E+0
98.00000E+0	-1.02000E+0	-4.72310E-3	215.95986E+0	0.00000E+0	0.00000E+0
99.00000E+0	-1.01000E+0	-4.72000E-3	213.98305E+0	0.00000E+0	0.00000E+0
100.00000E+0	-1.00000E+0	-4.71950E-3	211.88685E+0	0.00000E+0	0.00000E+0
101.00000E+0	-990.00000E-3	-4.71850E-3	209.81244E+0	0.00000E+0	0.00000E+0
102.00000E+0	-980.00000E-3	-4.71590E-3	207.80763E+0	0.00000E+0	0.00000E+0
103.00000E+0	-970.00000E-3	-4.71540E-3	205.70895E+0	0.00000E+0	0.00000E+0
104.00000E+0	-960.00000E-3	-4.71310E-3	203.68759E+0	0.00000E+0	0.00000E+0
105.00000E+0	-950.00000E-3	-4.71310E-3	201.56585E+0	0.00000E+0	0.00000E+0
106.00000E+0	-940.00000E-3	-4.70950E-3	199.59656E+0	0.00000E+0	0.00000E+0
107.00000E+0	-930.00000E-3	-4.71000E-3	197.45223E+0	0.00000E+0	0.00000E+0
108.00000E+0	-920.00000E-3	-4.70850E-3	195.39131E+0	0.00000E+0	0.00000E+0
109.00000E+0	-910.00000E-3	-4.70540E-3	193.39482E+0	0.00000E+0	0.00000E+0
110.00000E+0	-900.00000E-3	-4.70610E-3	191.24116E+0	0.00000E+0	0.00000E+0
111.00000E+0	-890.00000E-3	-4.70350E-3	189.22079E+0	0.00000E+0	0.00000E+0
112.00000E+0	-880.00000E-3	-4.70300E-3	187.11461E+0	0.00000E+0	0.00000E+0
113.00000E+0	-870.00000E-3	-4.70110E-3	185.06307E+0	0.00000E+0	0.00000E+0
114.00000E+0	-860.00000E-3	-4.69990E-3	182.98262E+0	0.00000E+0	0.00000E+0
115.00000E+0	-850.00000E-3	-4.69900E-3	180.88955E+0	0.00000E+0	0.00000E+0
116.00000E+0	-840.00000E-3	-4.69660E-3	178.85279E+0	0.00000E+0	0.00000E+0
117.00000E+0	-830.00000E-3	-4.69760E-3	176.68597E+0	0.00000E+0	0.00000E+0
118.00000E+0	-820.00000E-3	-4.69490E-3	174.65761E+0	0.00000E+0	0.00000E+0
119.00000E+0	-810.00000E-3	-4.69400E-3	172.56072E+0	0.00000E+0	0.00000E+0
120.00000E+0	-800.00000E-3	-4.69260E-3	170.48118E+0	0.00000E+0	0.00000E+0
121.00000E+0	-790.00000E-3	-4.69260E-3	168.35017E+0	0.00000E+0	0.00000E+0
122.00000E+0	-780.00000E-3	-4.69060E-3	166.29003E+0	0.00000E+0	0.00000E+0
123.00000E+0	-770.00000E-3	-4.68850E-3	164.23163E+0	0.00000E+0	0.00000E+0
124.00000E+0	-760.00000E-3	-4.68900E-3	162.08147E+0	0.00000E+0	0.00000E+0
125.00000E+0	-750.00000E-3	-4.68710E-3	160.01365E+0	0.00000E+0	0.00000E+0
126.00000E+0	-740.00000E-3	-4.68660E-3	157.89698E+0	0.00000E+0	0.00000E+0
127.00000E+0	-730.00000E-3	-4.68440E-3	155.83639E+0	0.00000E+0	0.00000E+0
128.00000E+0	-720.00000E-3	-4.68490E-3	153.68524E+0	0.00000E+0	0.00000E+0
129.00000E+0	-710.00000E-3	-4.68210E-3	151.64136E+0	0.00000E+0	0.00000E+0
130.00000E+0	-700.00000E-3	-4.68210E-3	149.50556E+0	0.00000E+0	0.00000E+0
131.00000E+0	-690.00000E-3	-4.68160E-3	147.38551E+0	0.00000E+0	0.00000E+0
132.00000E+0	-680.00000E-3	-4.67900E-3	145.33020E+0	0.00000E+0	0.00000E+0
133.00000E+0	-670.00000E-3	-4.67940E-3	143.18075E+0	0.00000E+0	0.00000E+0
134.00000E+0	-660.00000E-3	-4.67750E-3	141.10102E+0	0.00000E+0	0.00000E+0
135.00000E+0	-650.00000E-3	-4.67750E-3	138.96312E+0	0.00000E+0	0.00000E+0
136.00000E+0	-640.00000E-3	-4.67610E-3	136.86619E+0	0.00000E+0	0.00000E+0
137.00000E+0	-630.00000E-3	-4.67660E-3	134.71325E+0	0.00000E+0	0.00000E+0
138.00000E+0	-620.00000E-3	-4.67350E-3	132.66289E+0	0.00000E+0	0.00000E+0
139.00000E+0	-610.00000E-3	-4.67160E-3	130.57625E+0	0.00000E+0	0.00000E+0
140.00000E+0	-600.00000E-3	-4.67250E-3	128.41091E+0	0.00000E+0	0.00000E+0
141.00000E+0	-590.00000E-3	-4.67060E-3	126.32210E+0	0.00000E+0	0.00000E+0
142.00000E+0	-580.00000E-3	-4.67110E-3	124.16775E+0	0.00000E+0	0.00000E+0
143.00000E+0	-570.00000E-3	-4.66850E-3	122.09489E+0	0.00000E+0	0.00000E+0
144.00000E+0	-560.00000E-3	-4.66940E-3	119.92976E+0	0.00000E+0	0.00000E+0
145.00000E+0	-550.00000E-3	-4.66700E-3	117.84873E+0	0.00000E+0	0.00000E+0
146.00000E+0	-540.00000E-3	-4.66660E-3	115.71594E+0	0.00000E+0	0.00000E+0
147.00000E+0	-530.00000E-3	-4.66700E-3	113.56332E+0	0.00000E+0	0.00000E+0
