C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
0.0284165	-0.0432048
0.0263605	-0.0435197
0.0243661	-0.0438331
0.0223558	-0.0441071
0.0203136	-0.0444152
0.0183393	-0.0446816
0.016364	-0.0449395
0.0143272	-0.0452206
0.0123624	-0.0454647
0.0103245	-0.0457085
8.33965e-3	-0.0459263
6.38024e-3	-0.0461615
4.34975e-3	-0.046375
2.36806e-3	-0.0465739
0.38213e-3	-0.0467905
-1.71201e-3	-0.0469844
-3.68522e-3	-0.0471902
-5.67327e-3	-0.047348
-7.66769e-3	-0.0475433
-9.64302e-3	-0.0477069
-0.0116534	-0.0478498
-0.013704	-0.0480372
-0.0156263	-0.0481762
-0.0176631	-0.0483302
-0.0196289	-0.0484741
-0.0216477	-0.0486182
-0.0236453	-0.0487592
-0.0256737	-0.0488788
-0.0276628	-0.0490151
-0.02967	-0.0491297
-0.0317143	-0.0492612
-0.0336726	-0.0493595
-0.0357063	-0.0495041
-0.0377018	-0.049619
-0.0396898	-0.0497037
-0.0416694	-0.04983
-0.0436596	-0.0499173
-0.0456359	-0.0500231
-0.0476399	-0.0501129
-0.0496566	-0.0502263
-0.0516659	-0.0503266
-0.0537134	-0.050408
-0.0556579	-0.050516
-0.057699	-0.0505979
-0.0596987	-0.0507009
-0.0616868	-0.050766
-0.063677	-0.05087
-0.0657117	-0.0509574
-0.0676435	-0.0510158
-0.0696305	-0.0511203
-0.0716875	-0.0511885
-0.0736406	-0.0512678
-0.0756881	-0.051356
-0.0776729	-0.051441
-0.0796971	-0.0515168
-0.0816904	-0.0515786
-0.0836679	-0.0516611
-0.0856792	-0.0517425
-0.0876758	-0.051825
-0.0896437	-0.0518813
-0.0916371	-0.0519711
-0.0936845	-0.0520449
-0.0956407	-0.0520855
-0.0976627	-0.0521889
-0.0996943	-0.052251
-0.101671	-0.0523339
-0.103725	-0.0523939
-0.105638	-0.0524657
-0.107669	-0.0525427
-0.109672	-0.0526072
-0.111684	-0.0526867
-0.113657	-0.0527548
-0.115657	-0.0528363
-0.117632	-0.0528824
-0.119624	-0.0529773
-0.12165	-0.0530367
-0.123627	-0.0530984
-0.125628	-0.0531863
-0.127652	-0.0532503
-0.129655	-0.0533294
-0.131677	-0.0533911
-0.133664	-0.0534585
-0.135678	-0.0535259
-0.137628	-0.0535939
-0.139692	-0.053669
-0.141662	-0.0537488
-0.143634	-0.0538236
-0.145625	-0.0538677
-0.147618	-0.0539774
-0.149653	-0.0540356
