C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\LIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
-0.446759	-131.139
-0.448868	-131.045
-0.450781	-131.095
-0.452703	-130.996
-0.454752	-131.087
-0.45684	-131
-0.458783	-131.151
-0.460707	-131.041
-0.462821	-131.141
-0.464744	-131.015
-0.466767	-131.108
-0.468866	-131.006
-0.470802	-131.146
-0.472787	-131.033
-0.474823	-131.128
-0.476746	-131.069
-0.478723	-131.128
-0.480794	-131.068
-0.48274	-131.159
-0.484727	-131
-0.486767	-131.135
-0.488819	-131.072
-0.490772	-131.146
-0.492789	-131.121
-0.494831	-131.183
-0.496766	-131.12
-0.498764	-131.166
-0.500256	-131.201
-0.498774	-131.077
-0.496739	-131.16
-0.494734	-131.074
-0.492812	-131.164
-0.490788	-131.11
-0.488765	-131.177
-0.486844	-131.108
-0.484697	-131.196
-0.482659	-131.111
-0.480866	-131.159
-0.478702	-131.103
-0.476676	-131.164
-0.474809	-131.181
-0.472746	-131.21
-0.470894	-131.178
-0.468767	-131.189
-0.466771	-131.12
-0.464771	-131.169
-0.46273	-131.074
-0.460683	-131.086
-0.458831	-131.129
-0.456628	-131.136
-0.4547	-131.14
-0.452806	-131.169
-0.450751	-131.114
-0.448705	-131.151
-0.446798	-131.078
-0.444742	-131.123
-0.442716	-131.082
-0.440884	-131.127
-0.438631	-131.115
-0.436701	-131.163
-0.434728	-131.129
-0.432707	-131.143
-0.430833	-131.066
-0.42872	-131.129
-0.426749	-131.041
-0.424806	-131.163
-0.422704	-131.118
-0.420764	-131.207
-0.418721	-131.163
-0.416698	-131.215
-0.414882	-131.164
-0.412686	-131.148
-0.410692	-131.081
-0.408766	-131.159
-0.406823	-131.119
-0.404713	-131.192
-0.402757	-131.133
-0.4007	-131.239
-0.398659	-131.161
-0.396912	-131.187
-0.39475	-131.154
-0.392786	-131.135
-0.390819	-131.12
-0.388779	-131.164
-0.386722	-131.103
-0.384883	-131.189
-0.382691	-131.121
-0.38078	-131.199
-0.378679	-131.146
-0.376756	-131.101
-0.374785	-131.142
-0.372757	-131.166
-0.370757	-131.153
-0.368881	-131.182
-0.366739	-131.163
-0.364841	-131.141
-0.36273	-131.15
-0.360759	-131.08
-0.358788	-131.041
-0.356789	-131.106
-0.354701	-131.046
-0.352786	-131.092
-0.350709	-131.165
-0.348681	-131.103
-0.346882	-131.145
-0.344769	-131.057
-0.342709	-131.043
-0.340898	-131.113
-0.338699	-131.073
-0.336721	-131.124
-0.334744	-131.126
-0.332658	-131.131
-0.330813	-131.136
-0.328751	-131.084
-0.326723	-131.054
-0.324839	-131.122
-0.322686	-131.07
-0.320783	-131.168
-0.318663	-131.113
-0.316697	-131.201
-0.314734	-131.141
-0.312767	-131.166
-0.310806	-131.096
-0.308811	-131.158
-0.306741	-131.075
-0.30468	-131.179
-0.302868	-131.118
-0.300779	-131.192
-0.298785	-131.114
-0.29677	-131.178
-0.294779	-131.041
-0.292792	-131.129
-0.29094	-131.03
-0.288775	-131.12
-0.286759	-131.035
-0.284835	-131.087
-0.282708	-131.107
-0.280703	-131.133
-0.278882	-131.067
-0.276685	-131.114
-0.274729	-131.014
-0.27291	-131.128
-0.270717	-131.101
-0.268841	-131.181
-0.266781	-131.123
-0.264883	-131.184
-0.26275	-131.091
-0.26077	-131.133
-0.258834	-131.058
-0.256767	-131.1
-0.254842	-131.091
-0.252743	-131.131
-0.250706	-131.124
-0.248749	-131.185
-0.246684	-131.14
-0.244814	-131.179
-0.242727	-131.038
-0.240843	-131.071
-0.238784	-131.025
-0.236822	-131.091
-0.234733	-131.032
-0.23275	-131.164
-0.230724	-131.075
-0.228884	-131.162
-0.226717	-131.029
-0.224628	-131.135
-0.222874	-131.06
-0.220642	-131.153
-0.218741	-131.077
-0.216854	-131.174
-0.214664	-131.081
-0.212755	-131.221
-0.210794	-131.098
-0.208778	-131.161
-0.206766	-131.02
-0.20491	-131.101
-0.202743	-131.035
-0.200745	-131.142
-0.198912	-131.031
-0.196734	-131.195
-0.194747	-131.037
-0.192846	-131.172
-0.190823	-130.978
-0.188824	-131.072
-0.186873	-131.024
-0.184799	-131.093
-0.182876	-131.033
-0.180762	-131.166
-0.17873	-131.042
-0.176697	-131.174
-0.174662	-131.045
-0.172895	-131.125
-0.170733	-131.02
-0.168806	-131.126
-0.166757	-131.08
-0.164803	-131.117
-0.16278	-131.114
-0.160767	-131.127
-0.158848	-131.085
-0.156807	-131.084
-0.154932	-131.019
-0.152723	-131.092
-0.150779	-131.012
-0.148891	-131.123
-0.146798	-131.04
-0.144872	-131.097
-0.142827	-131.081
-0.140984	-131.056
-0.138755	-131.044
-0.136735	-131.052
-0.134962	-131.011
-0.132773	-131.122
-0.13079	-131.066
-0.128752	-131.181
-0.126683	-131.127
-0.124747	-131.147
-0.122752	-131.094
-0.120916	-131.092
-0.118762	-131.073
-0.116808	-131.115
-0.114795	-131.063
-0.112786	-131.168
-0.110798	-131.09
-0.108981	-131.153
-0.106787	-131.046
-0.104776	-131.115
-0.102837	-131.034
-0.100824	-131.086
-0.0989883	-131.029
-0.0967732	-131.095
-0.0947331	-131.055
-0.0928013	-131.14
-0.0907761	-131.041
-0.0889111	-131.13
-0.0868287	-130.999
-0.0848342	-131.081
-0.0828303	-131.054
-0.0808178	-131.091
-0.0789825	-131.061
-0.0767568	-131.072
-0.0748409	-131.067
-0.0727574	-131.076
-0.0707407	-130.955
-0.0689839	-130.998
-0.0668134	-130.897
-0.0647532	-130.975
-0.0627916	-130.944
-0.0607696	-130.976
-0.0589025	-131.052
-0.0568423	-131.011
-0.0548012	-130.989
-0.0528906	-130.984
-0.0508124	-130.958
-0.0486864	-130.969
-0.0469222	-131.003
-0.0447984	-131.016
-0.0428443	-131.033
-0.0407522	-131.076
-0.0387472	-131.06
-0.0368812	-131.047
-0.0348167	-131.026
-0.0327374	-130.995
-0.0309573	-131.043
-0.0287496	-131.051
-0.0267234	-131.045
-0.0248213	-131.112
-0.0227908	-131.018
-0.0208749	-131.054
-0.0188497	-131.009
-0.0166929	-130.98
-0.0148014	-130.966
-0.012876	-130.989
-0.0108147	-131.012
-8.76618e-3	-131.027
-6.99773e-3	-130.998
-4.77946e-3	-131.067
-2.76064e-3	-130.926
-0.871247e-3	-131.017
1.19956e-3	-130.921
3.27672e-3	-130.999
5.07807e-3	-130.987
7.25177e-3	-131.026
9.11146e-3	-130.997
0.0112035	-131.101
0.0130939	-130.988
0.0152295	-131.076
0.017121	-131.009
0.0192003	-131.078
0.0210515	-131.007
0.0232018	-131.083
0.0250148	-131.003
0.0272596	-131.047
0.0292678	-131.015
0.0312506	-131.003
0.0331888	-130.99
0.0352659	-131.006
0.0371362	-130.974
0.0391657	-131.052
0.0412068	-130.989
0.0432426	-131.049
0.0452667	-131.016
0.0471826	-131.023
0.0492279	-131.003
0.0512945	-130.984
0.053116	-130.986
0.0552314	-131.014
0.057073	-130.975
0.0592531	-131.046
0.0610884	-131.007
0.0632387	-131.048
0.0650518	-131.003
0.0672456	-131.015
0.0692708	-130.984
0.0710562	-131.004
0.073214	-130.976
0.0751183	-131.039
0.0772771	-130.973
0.0792058	-131.04
0.0813392	-130.975
0.0832859	-130.999
0.0851583	-130.908
0.0872407	-130.963
0.089232	-130.879
0.0911076	-131.021
0.0932251	-130.917
0.0951314	-131.007
0.0972754	-130.937
0.0992433	-131.008
0.101119	-130.866
0.103239	-130.966
0.105322	-130.815
0.107074	-130.972
0.109255	-130.866
0.111311	-130.977
0.113116	-130.899
0.1152	-130.921
0.117098	-130.807
0.119182	-130.943
0.121193	-130.73
0.123261	-130.921
0.125012	-130.81
0.127273	-130.958
0.12926	-130.825
0.131204	-130.967
0.133227	-130.799
0.135053	-130.9
0.137259	-130.781
0.139268	-130.889
0.141112	-130.835
0.143196	-130.923
0.145064	-130.854
0.147225	-130.929
0.149096	-130.88
0.151164	-130.9
0.153214	-130.806
0.155226	-130.905
0.15722	-130.842
0.159298	-130.91
0.161313	-130.883
0.16319	-130.973
0.165179	-130.887
0.16705	-130.948
0.169292	-130.849
0.171274	-130.865
0.17309	-130.8
0.175221	-130.867
0.177238	-130.811
0.179221	-130.848
0.181323	-130.837
0.183321	-130.882
0.185078	-130.784
0.187315	-130.839
0.189312	-130.698
0.191303	-130.774
0.193057	-130.794
0.195243	-130.83
0.197277	-130.803
0.199145	-130.892
0.201249	-130.766
0.203065	-130.845
0.205263	-130.714
0.207235	-130.827
0.209036	-130.757
0.211209	-130.799
0.213041	-130.77
0.21522	-130.799
0.217123	-130.739
0.219244	-130.807
0.221217	-130.719
0.223137	-130.809
0.225182	-130.678
0.22706	-130.792
0.22927	-130.715
0.231217	-130.823
0.233324	-130.746
0.235218	-130.785
0.237272	-130.718
0.239208	-130.657
0.241122	-130.655
0.243273	-130.75
0.245266	-130.702
0.247095	-130.805
0.249214	-130.693
0.251069	-130.775
0.253198	-130.729
0.255198	-130.704
0.257241	-130.719
0.259268	-130.634
0.261271	-130.668
0.263063	-130.677
0.265296	-130.649
0.267311	-130.701
0.269183	-130.685
0.271205	-130.639
0.273227	-130.605
0.275072	-130.577
0.277239	-130.59
0.279164	-130.547
0.281302	-130.611
0.283118	-130.634
0.285223	-130.618
0.287259	-130.629
0.289231	-130.61
0.291277	-130.545
0.293277	-130.547
0.295058	-130.603
0.297281	-130.556
0.299319	-130.605
0.301117	-130.578
0.30323	-130.536
0.305192	-130.52
0.307223	-130.529
0.309229	-130.431
0.311337	-130.54
0.313103	-130.437
0.315252	-130.522
0.317171	-130.493
0.319259	-130.537
0.321248	-130.451
0.323188	-130.514
0.325194	-130.389
0.327255	-130.45
0.329051	-130.342
0.331259	-130.434
0.333298	-130.342
0.335194	-130.476
0.337239	-130.355
0.339085	-130.37
0.341233	-130.314
0.343244	-130.35
0.345283	-130.338
0.34704	-130.407
0.349297	-130.353
0.351306	-130.415
0.353198	-130.372
0.355243	-130.375
0.357078	-130.274
0.359306	-130.282
0.361267	-130.188
0.363307	-130.242
0.36521	-130.217
0.367215	-130.18
0.369123	-130.168
0.37128	-130.209
0.373322	-130.121
0.375132	-130.176
0.377257	-130.029
0.379279	-130.068
0.381129	-130.024
0.383326	-130.013
0.385291	-129.997
0.387108	-129.989
0.38925	-129.925
0.391182	-129.971
0.393316	-129.867
0.39529	-129.906
0.397074	-129.812
0.399246	-129.855
0.401223	-129.771
0.403286	-129.796
0.405306	-129.692
0.407312	-129.712
0.409343	-129.574
0.411176	-129.579
0.413299	-129.417
0.415314	-129.455
0.417092	-129.336
0.419257	-129.401
0.421186	-129.205
0.42324	-129.283
0.42534	-129.067
0.42709	-129.073
0.429204	-128.912
0.431215	-128.918
0.433268	-128.775
0.435286	-128.849
0.437339	-128.634
0.439143	-128.705
0.441261	-128.416
0.443164	-128.43
0.445236	-128.189
0.447169	-128.118
0.449203	-127.915
0.451164	-127.87
0.453172	-127.623
0.455051	-127.581
0.457213	-127.31
0.459213	-127.227
0.461063	-126.89
0.46321	-126.704
0.465196	-126.422
0.467066	-126.277
0.469162	-125.971
0.471189	-125.785
0.473072	-125.435
0.47515	-125.17
0.477022	-124.744
0.479146	-124.435
0.481147	-123.941
0.48315	-123.615
0.485062	-123.146
0.487193	-122.756
0.489151	-122.208
0.491114	-121.737
0.493152	-121.116
0.495095	-120.492
0.496993	-119.829
0.49911	-119.216
0.501114	-118.35
0.503086	-117.685
0.505072	-116.787
0.507118	-115.988
0.509028	-114.987
0.51108	-114.018
0.513021	-112.9
0.515104	-111.799
0.517075	-110.509
0.519025	-109.309
0.521094	-107.868
0.523021	-106.556
0.525054	-104.939
0.527027	-103.403
0.529039	-101.607
0.530993	-99.8836
0.533033	-97.9054
0.535046	-95.981
0.537089	-93.7257
0.539062	-91.6041
0.54106	-89.1856
0.543051	-86.8029
0.545107	-84.0679
0.547071	-81.4205
0.549031	-78.4922
0.551041	-75.609
0.553036	-72.4541
0.554989	-69.2505
0.557051	-65.8488
0.559072	-62.3303
0.561106	-58.5847
0.563075	-54.7139
0.565114	-50.6383
0.567124	-46.5709
0.572168	-35.1596
0.57724	-23.1119
0.579263	-18.0602
0.581253	-12.8501
0.583252	-7.5204
0.585276	-2.00007
0.587256	3.649
0.588647	7.46711
0.588971	8.45306
