===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 05/11/2024
HORA INICIO: 16:51:43
HORA FINAL: 16:55:54
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-1
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
212.00000E+0	120.00000E-3	-7.88120E-3	-15.22611E+0	0.00000E+0	0.00000E+0
213.00000E+0	130.00000E-3	-7.87880E-3	-16.49997E+0	0.00000E+0	0.00000E+0
214.00000E+0	140.00000E-3	-7.87020E-3	-17.78862E+0	0.00000E+0	0.00000E+0
215.00000E+0	150.00000E-3	-7.86260E-3	-19.07766E+0	0.00000E+0	0.00000E+0
216.00000E+0	160.00000E-3	-7.85970E-3	-20.35701E+0	0.00000E+0	0.00000E+0
217.00000E+0	170.00000E-3	-7.84870E-3	-21.65964E+0	0.00000E+0	0.00000E+0
218.00000E+0	180.00000E-3	-7.84300E-3	-22.95040E+0	0.00000E+0	0.00000E+0
219.00000E+0	190.00000E-3	-7.83300E-3	-24.25635E+0	0.00000E+0	0.00000E+0
220.00000E+0	200.00000E-3	-7.82630E-3	-25.55486E+0	0.00000E+0	0.00000E+0
221.00000E+0	210.00000E-3	-7.81440E-3	-26.87346E+0	0.00000E+0	0.00000E+0
222.00000E+0	220.00000E-3	-7.80560E-3	-28.18489E+0	0.00000E+0	0.00000E+0
223.00000E+0	230.00000E-3	-7.79650E-3	-29.50042E+0	0.00000E+0	0.00000E+0
224.00000E+0	240.00000E-3	-7.78200E-3	-30.84040E+0	0.00000E+0	0.00000E+0
225.00000E+0	250.00000E-3	-7.77100E-3	-32.17089E+0	0.00000E+0	0.00000E+0
226.00000E+0	260.00000E-3	-7.75650E-3	-33.52027E+0	0.00000E+0	0.00000E+0
227.00000E+0	270.00000E-3	-7.74310E-3	-34.86976E+0	0.00000E+0	0.00000E+0
228.00000E+0	280.00000E-3	-7.72400E-3	-36.25065E+0	0.00000E+0	0.00000E+0
229.00000E+0	290.00000E-3	-7.70850E-3	-37.62081E+0	0.00000E+0	0.00000E+0
230.00000E+0	300.00000E-3	-7.68660E-3	-39.02896E+0	0.00000E+0	0.00000E+0
231.00000E+0	310.00000E-3	-7.66060E-3	-40.46680E+0	0.00000E+0	0.00000E+0
232.00000E+0	320.00000E-3	-7.63840E-3	-41.89359E+0	0.00000E+0	0.00000E+0
233.00000E+0	330.00000E-3	-7.60560E-3	-43.38908E+0	0.00000E+0	0.00000E+0
234.00000E+0	340.00000E-3	-7.57220E-3	-44.90109E+0	0.00000E+0	0.00000E+0
235.00000E+0	350.00000E-3	-7.53000E-3	-46.48074E+0	0.00000E+0	0.00000E+0
236.00000E+0	360.00000E-3	-7.48560E-3	-48.09234E+0	0.00000E+0	0.00000E+0
237.00000E+0	370.00000E-3	-7.42410E-3	-49.83769E+0	0.00000E+0	0.00000E+0
238.00000E+0	380.00000E-3	-7.35500E-3	-51.66553E+0	0.00000E+0	0.00000E+0
239.00000E+0	390.00000E-3	-7.27200E-3	-53.63036E+0	0.00000E+0	0.00000E+0
240.00000E+0	400.00000E-3	-7.16300E-3	-55.84252E+0	0.00000E+0	0.00000E+0
241.00000E+0	410.00000E-3	-7.02860E-3	-58.33310E+0	0.00000E+0	0.00000E+0
242.00000E+0	420.00000E-3	-6.85500E-3	-61.26915E+0	0.00000E+0	0.00000E+0
243.00000E+0	430.00000E-3	-6.63760E-3	-64.78245E+0	0.00000E+0	0.00000E+0
244.00000E+0	440.00000E-3	-6.35000E-3	-69.29134E+0	0.00000E+0	0.00000E+0
245.00000E+0	450.00000E-3	-5.98410E-3	-75.19928E+0	0.00000E+0	0.00000E+0
246.00000E+0	460.00000E-3	-5.52200E-3	-83.30315E+0	0.00000E+0	0.00000E+0
247.00000E+0	470.00000E-3	-4.92950E-3	-95.34436E+0	0.00000E+0	0.00000E+0
248.00000E+0	480.00000E-3	-4.20260E-3	-114.21501E+0	0.00000E+0	0.00000E+0
249.00000E+0	490.00000E-3	-3.32060E-3	-147.56369E+0	0.00000E+0	0.00000E+0
250.00000E+0	500.00000E-3	-2.27200E-3	-220.07042E+0	0.00000E+0	0.00000E+0
251.00000E+0	510.00000E-3	-1.06000E-3	-481.13208E+0	0.00000E+0	0.00000E+0
252.00000E+0	520.00000E-3	318.16000E-6	1.63440E+3	0.00000E+0	0.00000E+0
253.00000E+0	530.00000E-3	1.86500E-3	284.18231E+0	0.00000E+0	0.00000E+0
254.00000E+0	540.00000E-3	3.53910E-3	152.58116E+0	0.00000E+0	0.00000E+0
255.00000E+0	550.00000E-3	5.34960E-3	102.81143E+0	0.00000E+0	0.00000E+0
256.00000E+0	560.00000E-3	7.28420E-3	76.87872E+0	0.00000E+0	0.00000E+0
257.00000E+0	570.00000E-3	9.31120E-3	61.21660E+0	0.00000E+0	0.00000E+0
258.00000E+0	580.00000E-3	11.48500E-3	50.50065E+0	0.00000E+0	0.00000E+0
