===========================================
MEDIDA DE VI V3.2
===========================================

DÍA: 26/11/2024
HORA INICIO: 15:52:17
HORA FINAL: 16:04:14
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
TENSION(V)	CORRIENTE(A)	IMPEDANCIA(Ohm)	TIEMPO(seg)	LIMITE_I/V(0/1)
-550.00000E-3	-4.62560E-3	118.90349E+0	0.00000E+0	0.00000E+0
-540.00000E-3	-4.62650E-3	116.71890E+0	0.00000E+0	0.00000E+0
-530.00000E-3	-4.62460E-3	114.60451E+0	0.00000E+0	0.00000E+0
-520.00000E-3	-4.62510E-3	112.43000E+0	0.00000E+0	0.00000E+0
-510.00000E-3	-4.62360E-3	110.30366E+0	0.00000E+0	0.00000E+0
-500.00000E-3	-4.62290E-3	108.15722E+0	0.00000E+0	0.00000E+0
-490.00000E-3	-4.62150E-3	106.02618E+0	0.00000E+0	0.00000E+0
-480.00000E-3	-4.62100E-3	103.87362E+0	0.00000E+0	0.00000E+0
-470.00000E-3	-4.62200E-3	101.68758E+0	0.00000E+0	0.00000E+0
-460.00000E-3	-4.61910E-3	99.58650E+0	0.00000E+0	0.00000E+0
-450.00000E-3	-4.62010E-3	97.40049E+0	0.00000E+0	0.00000E+0
-440.00000E-3	-4.61740E-3	95.29172E+0	0.00000E+0	0.00000E+0
-430.00000E-3	-4.61860E-3	93.10181E+0	0.00000E+0	0.00000E+0
-420.00000E-3	-4.61600E-3	90.98787E+0	0.00000E+0	0.00000E+0
-410.00000E-3	-4.61700E-3	88.80225E+0	0.00000E+0	0.00000E+0
-400.00000E-3	-4.61600E-3	86.65511E+0	0.00000E+0	0.00000E+0
-390.00000E-3	-4.61410E-3	84.52353E+0	0.00000E+0	0.00000E+0
-380.00000E-3	-4.61510E-3	82.33841E+0	0.00000E+0	0.00000E+0
-370.00000E-3	-4.61360E-3	80.19768E+0	0.00000E+0	0.00000E+0
-360.00000E-3	-4.61410E-3	78.02172E+0	0.00000E+0	0.00000E+0
-350.00000E-3	-4.61150E-3	75.89721E+0	0.00000E+0	0.00000E+0
-340.00000E-3	-4.61240E-3	73.71434E+0	0.00000E+0	0.00000E+0
-330.00000E-3	-4.61010E-3	71.58196E+0	0.00000E+0	0.00000E+0
-320.00000E-3	-4.61010E-3	69.41281E+0	0.00000E+0	0.00000E+0
-310.00000E-3	-4.61100E-3	67.23054E+0	0.00000E+0	0.00000E+0
-300.00000E-3	-4.60700E-3	65.11830E+0	0.00000E+0	0.00000E+0
-290.00000E-3	-4.60860E-3	62.92583E+0	0.00000E+0	0.00000E+0
-280.00000E-3	-4.60700E-3	60.77708E+0	0.00000E+0	0.00000E+0
-270.00000E-3	-4.60740E-3	58.60138E+0	0.00000E+0	0.00000E+0
-260.00000E-3	-4.60550E-3	56.45424E+0	0.00000E+0	0.00000E+0
-250.00000E-3	-4.60600E-3	54.27703E+0	0.00000E+0	0.00000E+0
-240.00000E-3	-4.60510E-3	52.11613E+0	0.00000E+0	0.00000E+0
-230.00000E-3	-4.60240E-3	49.97393E+0	0.00000E+0	0.00000E+0
-220.00000E-3	-4.60460E-3	47.77831E+0	0.00000E+0	0.00000E+0
-210.00000E-3	-4.60240E-3	45.62837E+0	0.00000E+0	0.00000E+0
-200.00000E-3	-4.60310E-3	43.44898E+0	0.00000E+0	0.00000E+0
-190.00000E-3	-4.60150E-3	41.29088E+0	0.00000E+0	0.00000E+0
-180.00000E-3	-4.60240E-3	39.11003E+0	0.00000E+0	0.00000E+0
-170.00000E-3	-4.60000E-3	36.95652E+0	0.00000E+0	0.00000E+0
-160.00000E-3	-4.59910E-3	34.78942E+0	0.00000E+0	0.00000E+0
-150.00000E-3	-4.60050E-3	32.60515E+0	0.00000E+0	0.00000E+0
-140.00000E-3	-4.59860E-3	30.44405E+0	0.00000E+0	0.00000E+0
-130.00000E-3	-4.59860E-3	28.26947E+0	0.00000E+0	0.00000E+0
-120.00000E-3	-4.59650E-3	26.10682E+0	0.00000E+0	0.00000E+0
-110.00000E-3	-4.59740E-3	23.92657E+0	0.00000E+0	0.00000E+0
-100.00000E-3	-4.59550E-3	21.76042E+0	0.00000E+0	0.00000E+0
-90.00000E-3	-4.59500E-3	19.58651E+0	0.00000E+0	0.00000E+0
-80.00000E-3	-4.59600E-3	17.40644E+0	0.00000E+0	0.00000E+0
-70.00000E-3	-4.59360E-3	15.23859E+0	0.00000E+0	0.00000E+0
-60.00000E-3	-4.59310E-3	13.06307E+0	0.00000E+0	0.00000E+0
-50.00000E-3	-4.59150E-3	10.88969E+0	0.00000E+0	0.00000E+0
-40.00000E-3	-4.59150E-3	8.71175E+0	0.00000E+0	0.00000E+0
-30.00000E-3	-4.58910E-3	6.53723E+0	0.00000E+0	0.00000E+0
-20.00000E-3	-4.58860E-3	4.35863E+0	0.00000E+0	0.00000E+0
-10.00000E-3	-4.58860E-3	2.17931E+0	0.00000E+0	0.00000E+0
0.00000E+0	-4.58500E-3	-0.00000E+0	0.00000E+0	0.00000E+0
10.00000E-3	-4.58500E-3	-2.18103E+0	0.00000E+0	0.00000E+0
20.00000E-3	-4.58140E-3	-4.36548E+0	0.00000E+0	0.00000E+0
30.00000E-3	-4.58100E-3	-6.54879E+0	0.00000E+0	0.00000E+0
40.00000E-3	-4.57640E-3	-8.74049E+0	0.00000E+0	0.00000E+0
50.00000E-3	-4.57500E-3	-10.92896E+0	0.00000E+0	0.00000E+0
60.00000E-3	-4.57220E-3	-13.12279E+0	0.00000E+0	0.00000E+0
70.00000E-3	-4.56600E-3	-15.33071E+0	0.00000E+0	0.00000E+0
80.00000E-3	-4.56450E-3	-17.52656E+0	0.00000E+0	0.00000E+0
90.00000E-3	-4.55900E-3	-19.74117E+0	0.00000E+0	0.00000E+0
100.00000E-3	-4.55500E-3	-21.95390E+0	0.00000E+0	0.00000E+0
110.00000E-3	-4.55000E-3	-24.17582E+0	0.00000E+0	0.00000E+0
120.00000E-3	-4.54590E-3	-26.39741E+0	0.00000E+0	0.00000E+0
130.00000E-3	-4.54000E-3	-28.63436E+0	0.00000E+0	0.00000E+0
140.00000E-3	-4.53210E-3	-30.89076E+0	0.00000E+0	0.00000E+0
150.00000E-3	-4.52850E-3	-33.12355E+0	0.00000E+0	0.00000E+0
160.00000E-3	-4.51990E-3	-35.39901E+0	0.00000E+0	0.00000E+0
170.00000E-3	-4.51450E-3	-37.65644E+0	0.00000E+0	0.00000E+0
180.00000E-3	-4.50490E-3	-39.95649E+0	0.00000E+0	0.00000E+0
190.00000E-3	-4.49940E-3	-42.22785E+0	0.00000E+0	0.00000E+0
200.00000E-3	-4.48940E-3	-44.54938E+0	0.00000E+0	0.00000E+0
210.00000E-3	-4.48010E-3	-46.87395E+0	0.00000E+0	0.00000E+0
220.00000E-3	-4.47150E-3	-49.20049E+0	0.00000E+0	0.00000E+0
230.00000E-3	-4.46010E-3	-51.56835E+0	0.00000E+0	0.00000E+0
240.00000E-3	-4.45010E-3	-53.93137E+0	0.00000E+0	0.00000E+0
250.00000E-3	-4.43740E-3	-56.33930E+0	0.00000E+0	0.00000E+0
260.00000E-3	-4.42600E-3	-58.74379E+0	0.00000E+0	0.00000E+0
270.00000E-3	-4.41050E-3	-61.21755E+0	0.00000E+0	0.00000E+0
280.00000E-3	-4.39690E-3	-63.68123E+0	0.00000E+0	0.00000E+0
290.00000E-3	-4.38000E-3	-66.21005E+0	0.00000E+0	0.00000E+0
300.00000E-3	-4.36000E-3	-68.80734E+0	0.00000E+0	0.00000E+0
310.00000E-3	-4.34210E-3	-71.39403E+0	0.00000E+0	0.00000E+0
320.00000E-3	-4.31850E-3	-74.09980E+0	0.00000E+0	0.00000E+0
330.00000E-3	-4.29460E-3	-76.84068E+0	0.00000E+0	0.00000E+0
340.00000E-3	-4.26360E-3	-79.74482E+0	0.00000E+0	0.00000E+0
350.00000E-3	-4.23190E-3	-82.70517E+0	0.00000E+0	0.00000E+0
360.00000E-3	-4.19260E-3	-85.86557E+0	0.00000E+0	0.00000E+0
370.00000E-3	-4.14710E-3	-89.21897E+0	0.00000E+0	0.00000E+0
380.00000E-3	-4.09510E-3	-92.79383E+0	0.00000E+0	0.00000E+0
390.00000E-3	-4.02900E-3	-96.79821E+0	0.00000E+0	0.00000E+0
400.00000E-3	-3.94960E-3	-101.27608E+0	0.00000E+0	0.00000E+0
410.00000E-3	-3.85000E-3	-106.49351E+0	0.00000E+0	0.00000E+0
420.00000E-3	-3.72850E-3	-112.64584E+0	0.00000E+0	0.00000E+0
430.00000E-3	-3.57010E-3	-120.44481E+0	0.00000E+0	0.00000E+0
440.00000E-3	-3.36850E-3	-130.62194E+0	0.00000E+0	0.00000E+0
450.00000E-3	-3.11400E-3	-144.50867E+0	0.00000E+0	0.00000E+0
460.00000E-3	-2.77950E-3	-165.49739E+0	0.00000E+0	0.00000E+0
470.00000E-3	-2.36250E-3	-198.94180E+0	0.00000E+0	0.00000E+0
480.00000E-3	-1.82950E-3	-262.36677E+0	0.00000E+0	0.00000E+0
490.00000E-3	-1.17250E-3	-417.91045E+0	0.00000E+0	0.00000E+0
500.00000E-3	-370.70000E-6	-1.34880E+3	0.00000E+0	0.00000E+0
510.00000E-3	585.35000E-6	871.27360E+0	0.00000E+0	0.00000E+0
520.00000E-3	1.68950E-3	307.78337E+0	0.00000E+0	0.00000E+0
530.00000E-3	2.94050E-3	180.24146E+0	0.00000E+0	0.00000E+0
540.00000E-3	4.35540E-3	123.98402E+0	0.00000E+0	0.00000E+0
550.00000E-3	5.88800E-3	93.41033E+0	0.00000E+0	0.00000E+0
560.00000E-3	7.54360E-3	74.23511E+0	0.00000E+0	0.00000E+0
570.00000E-3	9.33070E-3	61.08866E+0	0.00000E+0	0.00000E+0
580.00000E-3	10.00000E-3	58.00000E+0	0.00000E+0	1.00000E+0
590.00000E-3	10.00100E-3	58.99410E+0	0.00000E+0	1.00000E+0
600.00000E-3	10.00100E-3	59.99400E+0	0.00000E+0	1.00000E+0
610.00000E-3	10.00100E-3	60.99390E+0	0.00000E+0	1.00000E+0
620.00000E-3	10.00100E-3	61.99380E+0	0.00000E+0	1.00000E+0
630.00000E-3	10.00000E-3	63.00000E+0	0.00000E+0	1.00000E+0
640.00000E-3	10.00100E-3	63.99360E+0	0.00000E+0	1.00000E+0
650.00000E-3	10.00100E-3	64.99350E+0	0.00000E+0	1.00000E+0
660.00000E-3	10.00000E-3	66.00000E+0	0.00000E+0	1.00000E+0
670.00000E-3	10.00000E-3	67.00000E+0	0.00000E+0	1.00000E+0
680.00000E-3	10.00100E-3	67.99320E+0	0.00000E+0	1.00000E+0
690.00000E-3	10.00100E-3	68.99310E+0	0.00000E+0	1.00000E+0
700.00000E-3	10.00000E-3	70.00000E+0	0.00000E+0	1.00000E+0
710.00000E-3	10.00100E-3	70.99290E+0	0.00000E+0	1.00000E+0
720.00000E-3	10.00000E-3	72.00000E+0	0.00000E+0	1.00000E+0
730.00000E-3	10.00100E-3	72.99270E+0	0.00000E+0	1.00000E+0
740.00000E-3	10.00100E-3	73.99260E+0	0.00000E+0	1.00000E+0
750.00000E-3	10.00000E-3	75.00000E+0	0.00000E+0	1.00000E+0
760.00000E-3	10.00100E-3	75.99240E+0	0.00000E+0	1.00000E+0
770.00000E-3	10.00100E-3	76.99230E+0	0.00000E+0	1.00000E+0
780.00000E-3	10.00100E-3	77.99220E+0	0.00000E+0	1.00000E+0
790.00000E-3	10.00000E-3	79.00000E+0	0.00000E+0	1.00000E+0
800.00000E-3	10.00100E-3	79.99200E+0	0.00000E+0	1.00000E+0
810.00000E-3	10.00000E-3	81.00000E+0	0.00000E+0	1.00000E+0
820.00000E-3	10.00100E-3	81.99180E+0	0.00000E+0	1.00000E+0
830.00000E-3	10.00000E-3	83.00000E+0	0.00000E+0	1.00000E+0
840.00000E-3	10.00100E-3	83.99160E+0	0.00000E+0	1.00000E+0
850.00000E-3	10.00100E-3	84.99150E+0	0.00000E+0	1.00000E+0
860.00000E-3	10.00100E-3	85.99140E+0	0.00000E+0	1.00000E+0
870.00000E-3	10.00100E-3	86.99130E+0	0.00000E+0	1.00000E+0
880.00000E-3	10.00100E-3	87.99120E+0	0.00000E+0	1.00000E+0
890.00000E-3	10.00000E-3	89.00000E+0	0.00000E+0	1.00000E+0
900.00000E-3	10.00100E-3	89.99100E+0	0.00000E+0	1.00000E+0
910.00000E-3	10.00100E-3	90.99090E+0	0.00000E+0	1.00000E+0
920.00000E-3	10.00100E-3	91.99080E+0	0.00000E+0	1.00000E+0
930.00000E-3	10.00000E-3	93.00000E+0	0.00000E+0	1.00000E+0
940.00000E-3	10.00100E-3	93.99060E+0	0.00000E+0	1.00000E+0
950.00000E-3	10.00000E-3	95.00000E+0	0.00000E+0	1.00000E+0
960.00000E-3	10.00000E-3	96.00000E+0	0.00000E+0	1.00000E+0
970.00000E-3	10.00100E-3	96.99030E+0	0.00000E+0	1.00000E+0
980.00000E-3	10.00100E-3	97.99020E+0	0.00000E+0	1.00000E+0
990.00000E-3	10.00000E-3	99.00000E+0	0.00000E+0	1.00000E+0
1.00000E+0	10.00100E-3	99.99000E+0	0.00000E+0	1.00000E+0
1.01000E+0	10.00100E-3	100.98990E+0	0.00000E+0	1.00000E+0
1.02000E+0	10.00000E-3	102.00000E+0	0.00000E+0	1.00000E+0
1.03000E+0	10.00100E-3	102.98970E+0	0.00000E+0	1.00000E+0
1.04000E+0	10.00100E-3	103.98960E+0	0.00000E+0	1.00000E+0
1.05000E+0	10.00100E-3	104.98950E+0	0.00000E+0	1.00000E+0
1.06000E+0	10.00100E-3	105.98940E+0	0.00000E+0	1.00000E+0
1.07000E+0	10.00000E-3	107.00000E+0	0.00000E+0	1.00000E+0
1.08000E+0	10.00100E-3	107.98920E+0	0.00000E+0	1.00000E+0
1.09000E+0	10.00100E-3	108.98910E+0	0.00000E+0	1.00000E+0
1.10000E+0	10.00000E-3	110.00000E+0	0.00000E+0	1.00000E+0
1.11000E+0	10.00100E-3	110.98890E+0	0.00000E+0	1.00000E+0
1.12000E+0	10.00000E-3	112.00000E+0	0.00000E+0	1.00000E+0
1.13000E+0	10.00000E-3	113.00000E+0	0.00000E+0	1.00000E+0
